Team,Nationality,Position,Age,Potential,Name 
Eintracht Frankfurt ,Argentina,Defensa central,34,Bueno,David Abraham
Lokomotiv Moscow ,Peru,Delantero Centro|Medio derecho,35,Bueno,Jefferson Farfán
Vissel Kobe ,Belgium,Defensa central,34,Bueno,Thomas Vermaelen
West Ham United ,Scotland,Medio derecho|Medio centro,32,Bueno,Robert Snodgrass
Boca Juniors ,Argentina,Delantero Centro|Medio centro ofensivo|Media punta,33,Bueno,Mauro Zárate
River Plate ,Argentina,Defensa central,37,Bueno,Javier Pinola
CD Leganés ,Spain,Portero,36,Bueno,Iván Cuéllar
Shakhtar Donetsk ,Ukraine,Portero,36,Bueno,Andriy Pyatov
FC Augsburg ,Germany,Medio centro ofensivo|Medio centro,36,Bueno,Daniel Baier
Fenerbahçe SK ,Turkey,Medio centro ofensivo|Medio centro,39,Bueno,Emre Belözoglu
Free Agents ,Ecuador,Lateral derecho,32,Bueno,Kevin Berlaso
Free Agents ,Ecuador,Defensa central,34,Bueno,Alexander Aguilmera
Free Agents ,Ecuador,Medio izquierdo,39,Bueno,Alan Zamorado
Bayer 04 Leverkusen ,Burkina Faso,Defensa central,21,Muy bueno,Edmond Tapsoba
SK Slavia Praha ,Czech Republic,Medio centro ofensivo|Medio derecho|Medio centro,26,Bueno,Petr Ševcík
PSV ,Netherlands,Medio centro ofensivo|Extremo izquierdo,18,Muy bueno,Mohamed Ihattaren
Free Agents ,Uruguay,Delantero Centro|Media punta,32,Bueno,Ángelo Damián Vera
Free Agents ,Uruguay,Medio centro ofensivo,36,Bueno,Mauro Agustín Fagundez
Free Agents ,Uruguay,Lateral derecho|Lateral izquierdo|Defensa central,28,Bueno,Guillermo Luis Ichazo
SK Slavia Praha ,Czech Republic,Portero,25,Muy bueno,Ondrej Kolár
Sporting CP ,Portugal,Portero,21,Muy bueno,Luís Maximiano
Valencia CF ,Korea Republic,Medio derecho|Medio izquierdo|Medio centro ofensivo,19,Muy bueno,Kangin Lee
Getafe CF ,Uruguay,Lateral izquierdo|Medio izquierdo,22,Muy bueno,Mathías Olivera
KAA Gent ,Ukraine,Delantero Centro|Medio izquierdo,24,Muy bueno,Roman Yaremchuk
1. FSV Mainz 05 ,Cameroon,Medio centro ofensivo|Medio centro,25,Muy bueno,Kunde Malong
Brighton & Hove Albion ,Argentina,Medio centro|Medio centro ofensivo|Extremo izquierdo,21,Muy bueno,Alexis Mac Allister
Club Brugge KV ,Nigeria,Delantero Centro|Extremo izquierdo|Extremo izquierdo,22,Muy bueno,Emmanuel Dennis
FC Schalke 04 ,United States,Defensa central|Medio centro ofensivo|Medio centro,21,Muy bueno,Weston McKennie
Fiorentina ,Serbia,Lateral derecho|Defensa central,22,Muy bueno,Nikola Milenkovic
Bologna ,Argentina,Medio centro ofensivo|Medio centro,22,Muy bueno,Nicolás Domínguez
Hertha BSC ,Germany,Medio centro ofensivo|Medio centro,21,Muy bueno,Arne Maier
Independiente ,Argentina,Lateral derecho|Defensa central,23,Muy bueno,Alan Franco
FC Girondins de Bordeaux ,Nigeria,Medio derecho|Medio izquierdo|Extremo izquierdo,22,Muy bueno,Samuel Kalu
Lecce ,Czech Republic,Medio centro|Medio centro ofensivo,25,Bueno,Antonín Barák
LOSC Lille ,Portugal,Medio centro ofensivo|Medio centro,25,Muy bueno,Xeka
Sport-Club Freiburg ,Germany,Defensa central|Medio centro ofensivo,24,Muy bueno,Robin Koch
Feyenoord ,Argentina,Defensa central,23,Muy bueno,Marcos Senesi
Ajax ,Morocco,Lateral derecho|Medio centro,22,Muy bueno,Noussair Mazraoui
Cagliari ,Croatia,Medio centro,25,Muy bueno,Marko Rog
1. FSV Mainz 05 ,Spain,Lateral izquierdo,23,Muy bueno,Aarón Martín
RC Celta ,Spain,Medio centro ofensivo|Medio centro|Medio centro ofensivo,21,Muy bueno,Fran Beltrán
RC Celta ,Spain,Medio derecho|Medio izquierdo,23,Muy bueno,Brais Méndez
Fiorentina ,Ivory Coast,Delantero Centro|Media punta,22,Muy bueno,Christian Kouamé
Ajax ,Mexico,Defensa central|Medio centro ofensivo,22,Muy bueno,Edson Álvarez
PSV ,Netherlands,Medio centro ofensivo|Medio centro,23,Muy bueno,Pablo Rosario
VfL Wolfsburg ,Croatia,Medio izquierdo|Extremo izquierdo,22,Muy bueno,Josip Brekalo
KRC Genk ,Denmark,Lateral derecho,23,Muy bueno,Joakim Mæhle
Royal Antwerp FC ,Portugal,Lateral derecho|Medio derecho,23,Muy bueno,Aurélio Buta
SL Benfica ,Portugal,Medio centro ofensivo|Medio centro,20,Muy bueno,Florentino
LOSC Lille ,Brazil,Medio derecho|Medio izquierdo,24,Muy bueno,Luiz Araújo
Celtic ,France,Delantero Centro,22,Muy bueno,Odsonne Edouard
Getafe CF ,Senegal,Medio izquierdo,24,Muy bueno,Amath Ndiaye
Bologna ,Italy,Medio derecho|Medio centro ofensivo|Extremo izquierdo,23,Muy bueno,Riccardo Orsolini
FC Girondins de Bordeaux ,France,Medio derecho|Medio centro ofensivo,23,Muy bueno,Rémi Oudin
RB Leipzig ,United States,Carrilero derecho|Medio centro ofensivo|Extremo izquierdo,21,Muy bueno,Tyler Adams
Hertha BSC ,Argentina,Medio centro ofensivo|Medio centro,23,Muy bueno,Santiago Ascacíbar
Feyenoord ,Netherlands,Portero,22,Muy bueno,Justin Bijlow
FC Augsburg ,Germany,Defensa central,22,Muy bueno,Felix Uduokhai
Hertha BSC ,Belgium,Delantero Centro|Medio derecho|Medio izquierdo,22,Muy bueno,Dodi Lukébakio
FC Nantes ,France,Medio derecho|Medio centro ofensivo,22,Muy bueno,Ludovic Blas
Stade Brestois 29 ,France,Portero,23,Muy bueno,Gautier Larsonneur
Roma ,Guinea,Medio centro ofensivo|Medio centro,23,Muy bueno,Amadou Diawara
Valencia CF ,France,Defensa central,23,Muy bueno,Mouctar Diakhaby
Fortaleza ,Brazil,Defensa central|Medio centro ofensivo,20,Bueno,Rafael Cachoira
Cruzeiro ,Brazil,Delantero Centro|Media punta,36,Bueno,Dênildo Stein
Cruzeiro ,Brazil,Medio centro ofensivo,24,Bueno,David Seijalbo
Club Athletico Paranaense ,Brazil,Lateral derecho|Defensa central,24,Bueno,Duirval Diniz
Avaí ,Brazil,Defensa central|Medio centro ofensivo,20,Bueno,Davi Parrela
Goiás ,Brazil,Lateral derecho|Medio derecho,24,Bueno,Victildinho
Palmeiras ,Brazil,Medio centro,36,Bueno,Rubens Freitosa
Fluminense ,Brazil,Lateral izquierdo|Medio izquierdo|Medio centro ofensivo,32,Bueno,Andeson Trigo
Santos ,Brazil,Portero,36,Bueno,Pierrino Faria
Botafogo ,Brazil,Portero,20,Bueno,Nelsildo Reis
Club Athletico Paranaense ,Brazil,Portero,28,Bueno,Fred Aníbão
São Paulo ,Brazil,Defensa central,28,Bueno,Cris Laranjeiros
Bahia ,Brazil,Medio centro ofensivo|Medio centro,28,Bueno,Emilio Piodão
Palmeiras ,Brazil,Lateral derecho|Lateral izquierdo|Defensa central,28,Bueno,Enzo Chissano
Atlético Mineiro ,Brazil,Lateral derecho|Lateral izquierdo|Defensa central,28,Bueno,Eltildo Correia
Bahia ,Brazil,Defensa central,20,Bueno,Juli Freitinho
Cruzeiro ,Brazil,Lateral derecho|Medio derecho,32,Bueno,Alexo Baia
SD Eibar ,Spain,Medio centro ofensivo|Medio centro|Medio centro ofensivo,23,Muy bueno,Edu Expósito
AS Monaco Football Club SA ,Brazil,Lateral izquierdo,24,Muy bueno,Jorge
Cagliari ,Uruguay,Medio centro ofensivo|Extremo izquierdo,25,Muy bueno,Gastón Pereiro
Milan ,Italy,Lateral derecho,23,Muy bueno,Davide Calabria
RCD Espanyol ,Argentina,Medio izquierdo|Medio centro ofensivo|Extremo izquierdo,23,Muy bueno,Matías Vargas
AZ ,Morocco,Extremo izquierdo,24,Muy bueno,Oussama Idrissi
AS Monaco Football Club SA ,Germany,Lateral derecho|Lateral izquierdo|Medio derecho,23,Muy bueno,Benjamin Henrichs
West Bromwich Albion ,Brazil,Medio derecho|Medio izquierdo|Medio centro ofensivo,24,Muy bueno,Matheus Pereira
Real Betis ,Spain,Lateral izquierdo|Carrilero izquierdo|Medio izquierdo|Extremo izquierdo,24,Muy bueno,Pedraza
Arsenal ,England,Defensa central,24,Muy bueno,Rob Holding
West Ham United ,Paraguay,Defensa central,28,Bueno,Fabián Balbuena
Chicago Fire Soccer Club ,Argentina,Defensa central|Medio centro ofensivo|Medio centro,29,Bueno,Gastón Giménez
Villarreal CF ,Cameroon,Medio centro ofensivo|Medio centro,24,Muy bueno,André-Franck Zambo Anguissa
Olympique Lyonnais ,France,Medio centro ofensivo|Medio centro,23,Muy bueno,Lucas Tousart
Aston Villa ,France,Carrilero derecho|Lateral derecho|Extremo izquierdo,25,Muy bueno,Frédéric Guilbert
D. Alavés ,Spain,Lateral izquierdo,24,Muy bueno,Rubén Duarte
Monterrey ,Netherlands,Delantero Centro,26,Bueno,Vincent Janssen
Boca Juniors ,Argentina,Portero,34,Bueno,Marcos Díaz
Trabzonspor ,Turkey,Portero,24,Muy bueno,Ugurcan Çakir
Aston Villa ,Egypt,Medio derecho|Extremo izquierdo|Extremo izquierdo,25,Bueno,Trezeguet
Independiente ,Uruguay,Portero,31,Bueno,Martín Campaña
Udinese ,Italy,Medio centro ofensivo|Medio centro,23,Muy bueno,Rolando Mandragora
Football Club de Metz ,Senegal,Delantero Centro,25,Muy bueno,Habib Diallo
Granada CF ,Spain,Defensa central,23,Muy bueno,Vallejo
Levante UD ,Serbia,Medio centro,27,Bueno,Nemanja Radoja
Galatasaray SK ,Romania,Delantero Centro,27,Bueno,Florin Andone
Udinese ,Italy,Delantero Centro,27,Bueno,Kevin Lasagna
CD Leganés ,Spain,Lateral derecho|Defensa central,28,Bueno,Bustinza
LOSC Lille ,Turkey,Lateral derecho,23,Muy bueno,Mehmet Zeki Çelik
Hertha BSC ,Germany,Lateral derecho|Medio derecho,25,Bueno,Marius Wolf
West Ham United ,England,Medio derecho,23,Muy bueno,Jarrod Bowen
AFC Bournemouth ,England,Medio centro,23,Muy bueno,Lewis Cook
Hellas Verona ,Morocco,Medio centro,23,Muy bueno,Sofyan Amrabat
Leeds United ,England,Defensa central|Medio centro ofensivo,24,Muy bueno,Kalvin Phillips
Cruz Azul ,Uruguay,Delantero Centro|Extremo izquierdo,27,Bueno,Jonathan Rodríguez
Fenerbahçe SK ,Kosovo,Delantero Centro,26,Bueno,Vedat Muriqi
FC Basel 1893 ,Switzerland,Portero,26,Muy bueno,Jonas Omlin
Newcastle United ,Brazil,Delantero Centro|Medio izquierdo,23,Muy bueno,Joelinton
Milan ,Italy,Lateral derecho|Medio derecho,26,Bueno,Andrea Conti
Club León ,Ecuador,Medio derecho|Medio centro ofensivo|Extremo izquierdo,32,Bueno,Ángel Mena
Atalanta ,Belgium,Medio derecho|Medio izquierdo,24,Muy bueno,Timothy Castagne
Norwich City ,Slovakia,Medio centro|Medio centro ofensivo,25,Muy bueno,Ondrej Duda
Rangers FC ,Colombia,Delantero Centro,24,Muy bueno,Alfredo Morelos
Brentford ,England,Delantero Centro|Extremo izquierdo|Extremo izquierdo,24,Muy bueno,Ollie Watkins
Dinamo Zagreb ,Croatia,Delantero Centro|Medio izquierdo|Extremo izquierdo,27,Bueno,Mislav Oršic
AFC Bournemouth ,Denmark,Medio centro,24,Muy bueno,Philip Billing
Brentford ,Algeria,Medio derecho|Extremo izquierdo|Extremo izquierdo,24,Muy bueno,Saïd Benrahma
San Lorenzo de Almagro ,Paraguay,Delantero Centro|Medio derecho|Medio centro ofensivo,28,Bueno,Óscar Romero
AFC Bournemouth ,Wales,Medio derecho,23,Muy bueno,David Brooks
Sport-Club Freiburg ,Germany,Delantero Centro|Media punta,24,Muy bueno,Luca Waldschmidt
RCD Espanyol ,Spain,Delantero Centro|Medio derecho|Medio izquierdo,28,Bueno,Embarba
Olympique de Marseille ,France,Lateral izquierdo,26,Bueno,Jordan Amavi
D. Alavés ,Spain,Medio derecho|Medio centro|Medio centro ofensivo,26,Muy bueno,Camarasa
Kaizer Chiefs ,Zimbabwe,Delantero Centro|Medio centro ofensivo|Extremo izquierdo,29,Bueno,Khama Billiat
Olympiacos CFP ,Portugal,Defensa central|Medio centro ofensivo,26,Muy bueno,Rúben Semedo
Royal Antwerp FC ,Netherlands,Defensa central,26,Bueno,Wesley Hoedt
Monterrey ,Argentina,Medio derecho|Medio centro ofensivo|Extremo izquierdo,27,Bueno,Maximiliano Meza
Udinese ,Ivory Coast,Medio centro ofensivo|Medio centro,25,Muy bueno,Seko Fofana
Olympique Lyonnais ,Netherlands,Lateral derecho,24,Muy bueno,Kenny Tete
FC Basel 1893 ,Switzerland,Lateral derecho,27,Bueno,Silvan Widmer
Atalanta ,Italy,Portero,28,Bueno,Marco Sportiello
Olympique Lyonnais ,Ivory Coast,Carrilero izquierdo|Extremo izquierdo|Extremo izquierdo,23,Muy bueno,Maxwel Cornet
Getafe CF ,Brazil,Medio izquierdo,24,Muy bueno,Kenedy
Getafe CF ,Spain,Medio derecho,26,Bueno,Jason
Stade Rennais FC ,France,Delantero Centro|Medio izquierdo,26,Bueno,Adrien Hunou
Vélez Sarsfield ,Argentina,Defensa central,26,Muy bueno,Lautaro Giannetti
Newell's Old Boys ,Argentina,Portero,29,Bueno,Alan Aguerre
Racing Club ,Argentina,Medio centro ofensivo|Medio centro,26,Bueno,Leonel Miranda
Celtic ,Scotland,Medio derecho|Medio centro|Medio centro ofensivo,25,Muy bueno,Ryan Christie
SPAL ,Italy,Media punta|Extremo izquierdo|Extremo izquierdo,26,Bueno,Federico Di Francesco
Spartak Moscow ,Russia,Portero,26,Bueno,Alexandr Selikhov
Rio Ave FC ,Brazil,Defensa central,31,Bueno,Aderllan Santos
Newcastle United ,Algeria,Medio centro ofensivo|Medio centro|Medio centro ofensivo,25,Muy bueno,Nabil Bentaleb
Besiktas JK ,Egypt,Medio centro ofensivo|Medio centro,28,Bueno,Mohamed Elneny
Levante UD ,Portugal,Medio derecho|Medio izquierdo,28,Bueno,Hernâni
SV Werder Bremen ,Sweden,Lateral izquierdo|Carrilero izquierdo|Medio izquierdo|Extremo izquierdo,26,Bueno,Ludwig Augustinsson
SV Werder Bremen ,Germany,Delantero Centro,25,Muy bueno,Davie Selke
West Ham United ,DR Congo,Lateral izquierdo|Carrilero izquierdo|Extremo izquierdo,26,Bueno,Arthur Masuaku
VfL Wolfsburg ,Germany,Medio centro,26,Bueno,Yannick Gerhardt
SK Slavia Praha ,Romania,Medio derecho|Medio centro|Medio centro ofensivo,27,Bueno,Nicolae Stanciu
RC Celta ,Denmark,Medio izquierdo|Extremo izquierdo,25,Bueno,Pione Sisto
Crystal Palace ,Germany,Medio izquierdo|Medio centro,24,Bueno,Max Meyer
Brighton & Hove Albion ,France,Delantero Centro,23,Muy bueno,Neal Maupay
D. Alavés ,Spain,Medio centro ofensivo|Medio centro,27,Bueno,Pere Pons
Sampdoria ,Poland,Medio centro,25,Muy bueno,Karol Linetty
CD Leganés ,France,Defensa central|Medio centro ofensivo,27,Bueno,Ibrahim Amadou
Fiorentina ,Italy,Medio centro,25,Bueno,Marco Benassi
RC Celta ,Spain,Portero,25,Muy bueno,Rubén Blanco
CA Osasuna ,Spain,Delantero Centro|Medio izquierdo|Medio centro ofensivo,27,Bueno,Rubén García
New England Revolution ,Spain,Medio derecho|Medio centro|Medio centro ofensivo,27,Bueno,Carles Gil
VfL Wolfsburg ,Switzerland,Medio derecho|Medio izquierdo|Extremo izquierdo,28,Bueno,Renato Steffen
Granada CF ,Venezuela,Delantero Centro|Medio izquierdo,27,Bueno,Darwin Machís
Real Salt Lake ,Slovakia,Medio centro ofensivo,26,Muy bueno,Albert Rusnák
Roma ,Brazil,Lateral derecho|Medio derecho,30,Bueno,Bruno Peres
Fenerbahçe SK ,Cape Verde,Medio derecho|Medio izquierdo,29,Bueno,Garry Rodrigues
Sport-Club Freiburg ,Germany,Lateral izquierdo|Carrilero izquierdo|Medio izquierdo|Extremo izquierdo,27,Bueno,Christian Günter
CD Leganés ,Greece,Defensa central,31,Bueno,Dimitrios Siovas
Celtic ,France,Defensa central,27,Bueno,Christopher Jullien
1. FSV Mainz 05 ,Sweden,Delantero Centro|Medio izquierdo|Medio centro ofensivo,26,Bueno,Robin Quaison
Manchester United ,Brazil,Medio derecho|Medio centro ofensivo,24,Muy bueno,Andreas Pereira
Borussia Mönchengladbach ,Germany,Defensa central|Medio centro ofensivo,30,Bueno,Tobias Strobl
Fortuna Düsseldorf ,Turkey,Defensa central,25,Bueno,Kaan Ayhan
Rio Ave FC ,Brazil,Medio centro ofensivo|Medio centro,26,Bueno,Filipe Augusto
Olympique Lyonnais ,Brazil,Lateral izquierdo|Defensa central,31,Bueno,Marçal
1. FC Union Berlin ,Sweden,Delantero Centro,29,Bueno,Sebastian Andersson
Lazio ,Belgium,Lateral izquierdo|Medio izquierdo,26,Bueno,Jordan Lukaku
Sporting CP ,Argentina,Delantero Centro|Extremo izquierdo,26,Bueno,Luciano Vietto
Tigres U.A.N.L. ,Chile,Delantero Centro|Medio centro ofensivo|Media punta,30,Bueno,Eduardo Vargas
Arsenal ,Spain,Defensa central,26,Muy bueno,Pablo Marí
Bayer 04 Leverkusen ,Germany,Lateral derecho|Medio derecho,26,Bueno,Mitchell Weiser
Sport-Club Freiburg ,Germany,Defensa central,26,Bueno,Dominique Heintz
Newcastle United ,England,Medio centro ofensivo|Medio centro,25,Muy bueno,Isaac Hayden
RB Leipzig ,Switzerland,Portero,26,Muy bueno,Yvon Mvogo
Newcastle United ,Netherlands,Lateral izquierdo|Carrilero izquierdo|Medio izquierdo|Extremo izquierdo,26,Bueno,Jetro Willems
Arsenal ,England,Lateral derecho|Defensa central|Medio centro ofensivo,25,Muy bueno,Calum Chambers
Sporting CP ,North Macedonia,Lateral derecho,28,Bueno,Stefan Ristovski
SPAL ,Argentina,Medio centro|Medio centro ofensivo,31,Bueno,Lucas Castro
Villarreal CF ,Spain,Lateral izquierdo,28,Bueno,Alberto Moreno
Lokomotiv Moscow ,Georgia,Defensa central,28,Bueno,Solomon Kverkvelia
Trabzonspor ,Czech Republic,Lateral izquierdo,30,Bueno,Filip Novák
Hertha BSC ,Netherlands,Defensa central,25,Muy bueno,Karim Rekik
F.C. Tokyo ,Brazil,Delantero Centro,30,Bueno,Diego Oliveira
Burnley ,England,Lateral izquierdo,26,Bueno,Charlie Taylor
Club América ,Ecuador,Medio derecho,29,Bueno,Renato Ibarra
Olympique de Marseille ,France,Lateral derecho|Extremo izquierdo,28,Bueno,Bouna Sarr
FC Cincinnati ,Netherlands,Delantero Centro|Medio izquierdo|Extremo izquierdo,26,Bueno,Jürgen Locadia
Newcastle United ,Wales,Lateral izquierdo|Defensa central,28,Bueno,Paul Dummett
Sporting CP ,Portugal,Defensa central,32,Bueno,Luís Neto
Toulouse Football Club ,France,Portero,29,Bueno,Baptiste Reynet
FC København ,Denmark,Delantero Centro|Medio izquierdo,26,Bueno,Viktor Fischer
Aalborg BK ,Denmark,Medio centro|Media punta|Extremo izquierdo,25,Bueno,Lucas Andersen
Celtic ,Norway,Medio derecho|Medio izquierdo|Medio centro ofensivo,25,Bueno,Mohamed Elyounoussi
Southampton ,England,Defensa central,26,Muy bueno,Jack Stephens
D. Alavés ,Spain,Lateral derecho|Medio derecho,30,Bueno,Aleix Vidal
Dijon FCO ,Senegal,Portero,26,Bueno,Alfred Gomis
Lecce ,Brazil,Portero,27,Muy bueno,Gabriel
Burnley ,Republic of Ireland,Medio derecho|Medio izquierdo,28,Bueno,Robbie Brady
Paris Saint-Germain ,France,Lateral izquierdo|Medio izquierdo,27,Bueno,Layvin Kurzawa
Inter ,Italy,Lateral izquierdo|Medio izquierdo,27,Bueno,Cristiano Biraghi
Sampdoria ,Italy,Defensa central,30,Bueno,Lorenzo Tonelli
Lecce ,Italy,Medio centro|Medio centro ofensivo,28,Bueno,Riccardo Saponara
Celtic ,Scotland,Carrilero derecho|Medio derecho|Medio izquierdo|Extremo izquierdo,29,Bueno,James Forrest
FC Schalke 04 ,Belgium,Delantero Centro|Medio derecho|Medio izquierdo,25,Bueno,Benito Raman
FC Utrecht ,Netherlands,Medio centro ofensivo|Medio centro,27,Bueno,Adam Maher
SD Eibar ,Spain,Lateral derecho|Lateral izquierdo|Defensa central,33,Bueno,Arbilla
Independiente ,Chile,Medio centro ofensivo|Medio centro|Medio centro ofensivo,33,Bueno,Pablo Hernández
Chelsea ,Netherlands,Medio centro,27,Bueno,Marco van Ginkel
SC Braga ,Angola,Delantero Centro|Extremo izquierdo|Extremo izquierdo,30,Bueno,Wilson Eduardo
Villarreal CF ,Argentina,Defensa central,29,Bueno,Ramiro Funes Mori
Vitória Guimarães ,Portugal,Medio centro ofensivo|Medio centro,30,Bueno,André André
FC Schalke 04 ,Austria,Delantero Centro|Medio centro ofensivo,26,Bueno,Michael Gregoritsch
Sampdoria ,Italy,Delantero Centro,28,Bueno,Manolo Gabbiadini
Monterrey ,Paraguay,Medio centro ofensivo|Medio centro,31,Bueno,Celso Ortíz
Real Betis ,Spain,Delantero Centro|Medio izquierdo|Extremo izquierdo,27,Bueno,Juanmi
Feyenoord ,Turkey,Medio centro ofensivo|Medio centro|Medio centro ofensivo,27,Bueno,Oguzhan Özyakup
Al Taawoun ,Cape Verde,Medio derecho|Medio izquierdo,31,Bueno,Héldon
FC Girondins de Bordeaux ,Mozambique,Defensa central,31,Bueno,Mexer
Junior FC ,Colombia,Delantero Centro,35,Bueno,Teófilo Gutiérrez
Shanghai Greenland Shenhua FC ,Colombia,Delantero Centro|Medio centro ofensivo,34,Bueno,Giovanni Moreno
Monterrey ,Colombia,Medio derecho|Extremo izquierdo,32,Bueno,Dorlan Pabón
Liverpool ,Spain,Portero,33,Bueno,Adrián
Eintracht Frankfurt ,Austria,Defensa central|Medio centro ofensivo,31,Bueno,Stefan Ilsanker
Brighton & Hove Albion ,Spain,Carrilero derecho|Lateral derecho|Extremo izquierdo,29,Bueno,Montoya
1. FC Union Berlin ,Poland,Portero,32,Bueno,Rafal Gikiewicz
Brentford ,Sweden,Defensa central,29,Bueno,Pontus Jansson
Stade de Reims ,France,Medio centro ofensivo,29,Bueno,Xavier Chavalerin
PSV ,Netherlands,Lateral izquierdo|Defensa central,30,Bueno,Nick Viergever
SL Benfica ,Switzerland,Delantero Centro,28,Bueno,Haris Seferovic
FC Barcelona ,Denmark,Delantero Centro|Medio izquierdo,29,Bueno,Martin Braithwaite
Granada CF ,France,Medio centro ofensivo|Medio centro,31,Bueno,Maxime Gonalons
Crystal Palace ,Turkey,Delantero Centro,29,Bueno,Cenk Tosun
Colón de Santa Fe ,Argentina,Delantero Centro|Medio centro ofensivo,35,Bueno,Luis Miguel Rodríguez
DSC Arminia Bielefeld ,Germany,Delantero Centro,32,Bueno,Fabian Klos
Medipol Basaksehir FK ,Brazil,Lateral derecho,31,Bueno,Júnior Caiçara
Rosario Central ,Argentina,Medio centro ofensivo|Medio centro,33,Bueno,Fabián Rinaudo
