Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Adventure, Action, Crime, Mystery",en,2011-11-22,7.1,lack; give; mastermind,Sherlock Holmes: A Game of Shadows
"Comedy, Romance",en,2001-08-10,6.2,lot; together; whether,American Pie 2
"Drama, History",en,2018-03-15,6.3,radical; marriage; finding,Mary Magdalene
"Thriller, Action, Adventure, Comedy, Crime",en,2010-06-09,6.4,Bosco; military; Baracus,The A-Team
"Action, Adventure, Fantasy",en,2016-12-16,6.0,creatures; searching; powder,The Great Wall
"Family, Fantasy, Comedy",en,2020-12-04,6.9,very; tracking; different,Godmothered
"Animation, Family, TV Movie",en,2020-09-08,6.2,every; While; cowboy,"Curious George: Go West, Go Wild"
"Drama, Thriller, Horror",fr,2021-07-14,6.5,bizarre; son; accident,Titane
Adventure,en,2010-05-12,6.4,towns; There; romances,Robin Hood
"Action, Adventure, Comedy, Fantasy",en,2020-09-25,6.8,royal; Sam; safe,Secret Society of Second Born Royals
Crime,en,2021-01-22,5.8,Philadelphia; dangerous; destroyed,Brothers by Blood
"Animation, Adventure, Family",en,2016-08-18,7.7,forced; mesmerizes; origami,Kubo and the Two Strings
"Adventure, History, War",en,2004-05-03,7.1,Trojan; sail; off,Troy
"Science Fiction, Adventure, Fantasy",en,2012-03-12,7.2,compete; entertainment; once,The Hunger Games
"Drama, Family",en,2009-06-13,8.0,professors; drama; college,Hachi: A Dog's Tale
Comedy,en,2006-12-07,5.5,ever; realizes; hes,American Pie Presents: The Naked Mile
"Drama, Romance",en,2021-07-06,7.0,couple; perfect; Ann,Annette
"Crime, Comedy, Action",en,2014-06-05,6.8,Schmidt; college; thing,22 Jump Street
"Thriller, Crime, Drama",en,2021-02-26,6.5,nonaddictive; market; down,Crisis
"Horror, Mystery, Crime",en,2004-10-01,7.4,fight; or; value,Saw
"Animation, Family, Fantasy, Adventure",en,2012-08-17,7.1,Pixie; Tinkerbell; forbidden,Secret of the Wings
"Comedy, Animation, Action, Adventure",ja,2016-07-06,7.6,Boruto; Packaged; Movie,The Day Naruto Became Hokage
"Comedy, Romance",en,1999-07-09,6.5,enter; isnt; easy,American Pie
"Horror, Mystery",en,1997-12-09,6.4,now; occurred; deep,Scream 2
"Action, Adventure, Science Fiction",en,2016-06-22,5.2,Earth; nations; women,Independence Day: Resurgence
"Action, Crime, Thriller",en,2015-09-17,7.4,US; agent; war,Sicario
"Horror, Thriller",en,2014-07-17,6.7,year; or; period,The Purge: Anarchy
"Science Fiction, Drama, Thriller",en,2012-02-01,6.8,high; advantage; understanding,Chronicle
"Horror, Thriller",en,2010-09-13,6.9,things; dark; inexplicably,Insidious
"Drama, History",en,1956-10-05,7.7,death; leader; liberator,The Ten Commandments
"Science Fiction, Action",en,2010-11-11,4.9,unravels; population; band,Skyline
"Action, Comedy, Crime",en,2013-06-27,6.6,FBI; thing; Boston,The Heat
"Comedy, Action",en,2020-10-02,6.6,peace; Its; since,Cats & Dogs 3: Paws Unite
"Horror, Comedy",en,1998-10-16,5.9,Chucky; murder; doll,Bride of Chucky
"Action, Science Fiction",en,2014-05-27,7.6,again; beginning; Cage,Edge of Tomorrow
"Action, Adventure, Science Fiction, Fantasy",en,2022-12-14,0.0,military; original; established,Avatar 2
"Action, Adventure, Thriller",en,2014-08-07,6.2,ago; forced; Expendables,The Expendables 3
"Science Fiction, Thriller",en,2014-08-28,7.4,designed; devastating; attack,Predestination
"Thriller, Action, Comedy",en,2016-06-02,6.8,themselves; face; Horsemen,Now You See Me 2
"Comedy, Documentary, Action",en,2010-10-15,6.6,Tooth; through; Johnny,Jackass 3D
"Thriller, Horror",en,2016-06-08,7.0,break; crime; away,Don't Breathe
"Drama, Science Fiction, Thriller",es,2019-11-08,7.0,inmates; inhuman; number,The Platform
"Thriller, Mystery, Science Fiction",en,2011-03-08,7.2,film; darkly; shadowy,Limitless
"Comedy, Drama, Romance",en,1994-07-06,8.5,eludes; imagined; present,Forrest Gump
"Drama, Romance",en,2020-08-21,7.5,classmate; unexpected; importantly,Chemical Hearts
"Adventure, Science Fiction",en,2018-11-27,6.2,traction; change; Earth’s,Mortal Engines
"Science Fiction, Action, Adventure",en,2019-06-05,6.0,shes; spiral; powerful,Dark Phoenix
"Animation, Family",en,2002-10-01,7.0,witch; She; However,Barbie as Rapunzel
"Animation, Music",en,2020-09-01,7.4,adventure; With; kingdom,Barbie: Princess Adventure
"Animation, Action, Science Fiction",ja,1993-02-24,7.6,Trunks; future; rampage,Dragon Ball Z: The History of Trunks
"Fantasy, Action, Thriller, Horror",en,2016-11-24,5.8,sacrifice; both; make,Underworld: Blood Wars
"Family, Animation, Fantasy, Comedy",en,1999-12-17,6.0,lost; some; comic,Stuart Little
"Animation, Action, Comedy, Family, Science Fiction",en,2010-10-28,6.9,nemesis; loses; finally,Megamind
"Science Fiction, Adventure, Action",en,2018-05-15,6.6,copilot; mighty; meets,Solo: A Star Wars Story
Horror,en,2021-04-29,5.4,confront; 1930s; discover,The Banishing
Drama,en,2018-09-14,6.9,Crusade; Applewhite; suffering,Unbroken: Path to Redemption
"Comedy, Crime, Mystery",en,2019-11-27,7.9,inquisitive; uncover; death,Knives Out
Drama,it,2000-03-16,7.4,On; slander; During,Malena
"Action, Thriller",en,2011-02-03,5.9,question; forced; Esaala,Sanctum
"Comedy, Drama",pt,2021-09-22,7.0,queen; among; sociallyawkward,Confessions of an Invisible Girl
Horror,en,2020-07-23,5.6,celebratory; oceanside; host,The Rental
"Drama, Horror, Mystery, Comedy",it,2021-07-14,5.9,camper; were; recover,A Classic Horror Story
"Action, Science Fiction",en,2004-07-15,6.9,robots; three; commonplace,"I, Robot"
"Action, Crime, Drama, Thriller",en,1983-12-09,8.2,stands; trade; police,Scarface
"Science Fiction, War",zh,2019-08-09,5.6,future; battle; attack,Shanghai Fortress
"Horror, Thriller",en,2021-01-29,5.8,nothing; says; spread,The Mad Hatter
"Comedy, Drama, Romance",en,2006-06-29,7.4,cruel; high; succeed,The Devil Wears Prada
"Horror, Crime, Drama, Thriller",en,2021-08-04,6.5,deal; Desperate; history,Aftermath
"Fantasy, Animation, Action",ja,2008-08-02,7.2,still; prevent; missing,Naruto Shippuden the Movie: Bonds
"Drama, War",en,1995-02-24,6.8,struggle; did; prepare,The Walking Dead
Drama,en,2021-09-24,6.5,Evan; social; caught,Dear Evan Hansen
"Animation, Family, Adventure, Comedy",en,2008-11-21,6.5,Hollywood; shipped; accidentally,Bolt
"Action, Adventure",en,2018-07-13,7.4,motives; Ethan; team,Mission: Impossible - Fallout
"Comedy, Family, Fantasy",en,2021-10-01,6.7,criminals; Three; try,Under Wraps
"Animation, Drama, Fantasy",ja,2017-08-18,6.5,annual; round; or,Fireworks
"Action, Thriller",en,2013-05-07,6.2,forces; transforming; run,Hummingbird
"Action, Comedy",ja,2016-05-14,6.5,Ryohei; Aikos; materialise,HK: Hentai Kamen 2 - Abnormal Crisis
"Family, Comedy, Animation",en,2021-12-15,6.9,monster; monster; sport,Rumble
"Science Fiction, Action, Animation, Mystery",en,2012-08-21,7.8,what; still; Bruce,"Batman: The Dark Knight Returns, Part 1"
Animation,en,2013-10-20,7.1,Fits; Up; party,Pixie Hollow Bake Off
"Horror, Comedy",en,2019-10-09,7.0,survivors; off; Rock,Zombieland: Double Tap
Drama,en,1976-11-21,7.8,Apollo; trainer; break,Rocky
"Family, Drama, Comedy",en,2017-04-12,8.1,child; Mary; mother,Gifted
"Horror, Thriller, Mystery",en,2019-01-03,6.5,survive; beyond; control,Escape Room
"Adventure, Comedy, Drama",es,2021-02-25,6.9,herself; journalist; aspects,A un paso de mí
"Action, Thriller, Crime, Drama",en,2011-07-27,6.6,murder; Restrepo; witnessing,Colombiana
"Thriller, Drama",en,2021-11-19,7.3,popular; balances; crises,Boiling Point
"Animation, Family",en,1997-11-20,7.6,reward; later; Years,Anastasia
"Mystery, Horror, Thriller",pt,2021-08-04,6.8,weird; whom; strong,Insensate
"Horror, Drama, Fantasy",en,2020-10-28,6.4,An; powers; teenage,The Craft: Legacy
"Crime, Comedy, Action",en,2011-02-16,5.6,go; Momma; allgirls,"Big Mommas: Like Father, Like Son"
"Family, Fantasy, TV Movie, Music, Adventure, Action, Romance",en,2017-07-21,7.4,selfproclaimed; pressure; much,Descendants 2
"Action, Thriller, Science Fiction",en,2010-11-12,5.8,adrenalinefueled; hope; head,Death Race 2
"Drama, Music, History",en,2015-08-11,7.8,dangerous; America; began,Straight Outta Compton
Thriller,de,2021-09-10,4.6,bid; turns; wild,Prey
"Animation, Family, Adventure, Comedy",en,2015-03-09,6.8,icy; party; just,Frozen Fever
"Adventure, Comedy, Science Fiction, Family",en,1985-07-03,8.3,rekindling; romantic; Marty,Back to the Future
"Comedy, Family",es,2021-07-08,4.7,Felipe; should; station,The Kids Are Alright: Destination Asturias
"Adventure, Action, Western",en,2016-09-14,6.4,ruthless; gold; Bogue,The Magnificent Seven
Documentary,es,2020-04-03,7.5,thieves; professor; why,Money Heist: The Phenomenon
"Action, Thriller",en,2013-02-06,5.3,stop; John; unaware,A Good Day to Die Hard
"Thriller, Crime",da,2021-05-27,6.3,intend; case; those,The Marco Effect
"Action, Thriller, Romance",en,2010-12-08,6.2,Frank; Jérôme; eye,The Tourist
Thriller,en,2021-09-22,6.1,might; small; around,Intrusion
"Action, Thriller, Science Fiction",en,1991-07-03,8.1,since; deadly; send,Terminator 2: Judgment Day
"Family, Animation, Adventure, Science Fiction, Comedy",en,1999-08-06,7.9,fears; boy; metal,The Iron Giant
Horror,en,2000-03-17,6.5,crash; hunt; vision,Final Destination
"Animation, Adventure, Comedy, Fantasy",en,2016-07-11,5.7,chosen; what; supermarket,Sausage Party
"Action, Adventure, Comedy, Family",en,2021-01-29,6.5,Oahu; Brooklyn; journal,Finding 'Ohana
Drama,pl,2019-09-10,7.8,local; juvenile; charismatic,Corpus Christi
"Drama, History, Romance",fr,2021-07-09,6.8,visions; 17thcentury; nun,Benedetta
"Adventure, Action",en,2012-08-09,5.4,colony; stumbles; expedition,The Dinosaur Project
"Animation, Action, Adventure",en,2014-05-13,7.1,Batman; learns; known,Son of Batman
"Comedy, Romance",en,2009-02-05,6.4,New; Bloomwood; really,Confessions of a Shopaholic
"Comedy, Drama",it,1997-12-20,8.5,His; creative; whole,Life Is Beautiful
"Thriller, TV Movie",en,2017-02-25,6.2,soon; irresistibly; husband,Infidelity in Suburbia
Horror,es,2020-01-30,6.4,Responding; police; spirits,La Casa
"Animation, Adventure, Family, Fantasy",en,2020-10-16,7.4,rocket; builds; hoping,Over the Moon
"Family, Animation, Fantasy, Action, Adventure",en,2012-11-21,7.4,evil; forces; spirit,Rise of the Guardians
"Comedy, Horror",en,2009-09-18,5.8,stop; seductive; its,Jennifer's Body
"Action, Adventure, Animation",ja,2012-12-15,7.5,Luffy; crew; defeated,One Piece Film: Z
"Fantasy, Action, Mystery",en,2013-08-21,6.4,Clary; protect; line,The Mortal Instruments: City of Bones
"Documentary, Music",es,2021-09-22,3.5,last; bid; revives,We Are Nothing
Comedy,es,2021-06-24,5.8,perfect; daughter; surprisingly,Undercover Wedding Crashers
"Adventure, Comedy, Science Fiction",en,2006-09-01,6.3,its; Americans; Human,Idiocracy
"Family, Adventure, Animation, Fantasy, Science Fiction",ja,2016-07-16,6.6,it’s; use; Ash,Pokémon the Movie: Volcanion and the Mechanical Marvel
"Family, Animation, Romance",en,1955-06-22,7.1,golden; wrong; dog,Lady and the Tramp
"Drama, History",en,2018-03-23,7.4,prison; Risking; held,"Paul, Apostle of Christ"
"Drama, Mystery",en,2013-12-25,6.8,Seligmans; aspects; what,Nymphomaniac: Vol. II
"Drama, Romance",de,2011-12-07,5.9,character; because; then,Hotel Desire
"Comedy, Drama, Family, Fantasy, Science Fiction",cn,2008-01-30,7.2,construction; private; much,CJ7
"Horror, Science Fiction",en,2021-04-03,5.3,rises; count; body,Rise of the Mummy
"Adventure, Action, Fantasy",en,2023-03-17,0.0,power; forge; unlikely,Aquaman and The Lost Kingdom
"Comedy, Family, Adventure, Romance",en,2008-10-03,5.3,owner; rely; Chloe,Beverly Hills Chihuahua
Comedy,en,2003-10-24,6.0,franchise; crop; news,Scary Movie 3
"Animation, Comedy, Family, Adventure",en,1970-12-24,7.3,leaving; Bonfamille; steal,The Aristocats
"Drama, Horror, Science Fiction",es,1967-01-01,6.2,bacteriological; remains; Only,Soy leyenda
Comedy,en,2020-10-06,6.4,East; want; high,American Pie Presents: Girls' Rules
"Action, Comedy, Family, Adventure",en,2001-03-18,5.8,day; raise; business,Spy Kids
"Drama, Romance",en,2022-01-06,6.3,unworthy; ahead; de,Cyrano
"Action, Crime, Thriller",en,2006-04-11,7.3,Iceman; sent; champ,Undisputed II: Last Man Standing
"Animation, Drama, Science Fiction, Music",ja,2021-07-16,8.4,Suzu; highschool; day,Belle
"Fantasy, Action, Adventure",en,2016-06-29,5.9,acclimated; called; encampment,The Legend of Tarzan
"Animation, Science Fiction, Action",ja,2014-03-25,6.4,plot; terrorist; known,Avengers Confidential: Black Widow & Punisher
"Crime, Drama, Action",en,1994-09-14,8.3,earned; New; thoughts,Léon: The Professional
"Animation, Drama, Adventure, Fantasy",en,2019-11-15,6.4,crash; forests; island,Away
"Animation, Comedy, Family",en,2009-09-17,6.6,machine; machine; clouds,Cloudy with a Chance of Meatballs
"Action, Comedy, Crime",en,2012-03-14,6.9,unit; high; joined,21 Jump Street
"Family, Adventure, Comedy, Animation",en,2002-11-06,6.0,enlists; meets; 101,101 Dalmatians II: Patch's London Adventure
"Comedy, Horror",en,2015-10-23,6.5,lifelong; zombie; heroes,Scouts Guide to the Zombie Apocalypse
"Family, Animation, Fantasy",en,2011-08-11,7.4,kingdom’s; stop; Blair,Barbie: Princess Charm School
"Science Fiction, Action, Thriller",cn,2010-08-11,4.9,mutants; during; Sunny,City Under Siege
"Action, Drama, War",en,2014-03-05,6.1,war; mortalturnedgod; navy,300: Rise of an Empire
"Comedy, Romance",en,2009-09-19,5.5,island; descend; problems,Couples Retreat
"Thriller, Romance, Drama, Mystery",en,2020-12-10,6.2,powerful; Nico; During,Songbird
"Adventure, Action",en,1984-05-23,7.3,secret; mystical; cult,Indiana Jones and the Temple of Doom
"Comedy, Romance",en,2018-08-16,7.7,Lara; mysteriously; imaginary,To All the Boys I've Loved Before
"Family, Animation, Adventure, Comedy",en,2007-10-28,6.0,us; college; subsequently,Bee Movie
"Family, Fantasy, Comedy",en,1971-06-29,7.5,kids; five; tour,Willy Wonka & the Chocolate Factory
"Comedy, Crime, Drama",en,2016-08-17,6.9,Based; arm; true,War Dogs
"Crime, Drama, Action",en,2021-01-22,6.1,century; smart; brought,Twist
"Animation, Family",en,2006-09-19,7.7,pastime; King; lost,Barbie in The 12 Dancing Princesses
Comedy,es,2021-12-21,7.5,proving; patriarch; nemesis,Grumpy Christmas
"Horror, Science Fiction, Action, Fantasy",ja,2015-09-01,5.8,Titan; restore; injured,Attack on Titan II: End of the World
"Family, Adventure, Comedy, Fantasy, Animation",en,2015-01-28,6.1,order; search; Patrick,The SpongeBob Movie: Sponge Out of Water
"Adventure, Family, Fantasy",en,2016-05-25,6.5,Underland; adventure; faces,Alice Through the Looking Glass
"Action, Adventure, Thriller",en,2015-10-26,6.5,terrible; deceit; organization,Spectre
"Drama, Action, Adventure, History, War",en,2012-01-19,6.5,squadron; during; War,Red Tails
"Animation, Family, Comedy",en,2013-09-26,6.4,creates; still; leave,Cloudy with a Chance of Meatballs 2
"Action, Thriller, Science Fiction",en,2012-04-12,5.9,Set; rescuing; outer,Lockout
"Horror, Thriller",en,2020-10-23,6.2,small; give; turn,The Wolf of Snow Hollow
"Fantasy, Action",en,2004-04-02,6.7,aid; place; adulthood,Hellboy
"Mystery, Thriller, Drama",en,2014-10-01,7.9,turned; innocent; With,Gone Girl
"Adventure, Comedy, Fantasy, Family, Drama",en,2017-01-19,7.6,multiple; dog; purpose,A Dog's Purpose
"Action, Drama, Adventure",en,2000-05-01,8.2,throws; emperor; death,Gladiator
"Science Fiction, Action, Adventure, Thriller",en,1987-06-12,7.5,team; hunted; jungle,Predator
"Action, Thriller",en,2019-08-21,6.5,Secret; Banning; Chased,Angel Has Fallen
Horror,en,2003-08-15,6.0,Voorhees; monster; dreamdemon,Freddy vs. Jason
"Action, Adventure, Animation, Science Fiction, Thriller",en,2009-08-19,6.9,refuge; others; convinces,9
"Comedy, Drama",en,2010-11-04,6.3,start; birth; days,Due Date
Documentary,en,2009-03-17,6.3,Janisch; stars; Thomas,Porno Unplugged
"Animation, Family",en,1940-11-13,7.4,music; song; again,Fantasia
"Fantasy, Action, Adventure, Family",en,2013-02-27,5.8,fearsome; face; strive,Jack the Giant Slayer
"Animation, Family",en,2021-04-16,7.0,However; king; bad,Zog and the Flying Doctors
"Animation, Comedy, Family, Western, Adventure",en,2011-03-02,6.8,accidentally; Rango; forced,Rango
Drama,en,2014-04-16,6.6,emergency; during; true,Heaven Is for Real
"Drama, Science Fiction, Mystery",en,2016-11-10,7.6,peace; determine; come,Arrival
"Action, Crime, Thriller",en,2022-03-16,0.0,career; desperate; offers,Ambulance
"Fantasy, Thriller, Action, Adventure, Horror",en,2017-06-06,5.5,malevolence; terrors; bringing,The Mummy
"Thriller, Crime, Horror",en,2010-06-17,6.5,writer; attention; male,I Spit on Your Grave
"Comedy, Romance",en,2008-07-02,7.0,owns; finding; small,Mamma Mia!
"Drama, Thriller, Crime",en,2013-09-18,8.0,parents; evidence; Anna,Prisoners
"Horror, Mystery",en,2009-08-26,5.6,end; evaded; collect,The Final Destination
"Animation, Family",en,1963-12-25,7.2,believing; say; go,The Sword in the Stone
"Drama, Horror, TV Movie",en,2002-11-04,6.2,slowly; painfully; abusive,Carrie
Drama,en,2021-11-11,7.9,friendship; composer; Larson,"tick, tick... BOOM!"
"Animation, Action, Adventure, Crime, Fantasy",en,2021-01-12,7.0,Dragon; past; Ben,Batman: Soul of the Dragon
"Action, Science Fiction, Adventure",en,2014-07-30,7.9,orb; abducted; Accuser,Guardians of the Galaxy
"Drama, Science Fiction",en,2022-01-21,7.4,didnt; front; Jake,After Yang
"Animation, Drama, Family, Fantasy",ja,2012-07-21,8.3,fathers; daughter; lover,Wolf Children
"Animation, Family, Fantasy, Adventure, Drama",ja,2018-06-16,7.3,old; brother; 4year,Mirai
"Family, Animation, Fantasy, Adventure, Comedy, Music",en,2016-10-13,6.7,polar; ever; Trolls,Trolls
"Animation, Comedy, Family",en,2011-11-18,6.1,together; dance; allies,Happy Feet Two
"Comedy, Romance",en,2009-01-09,6.2,rivals; respective; day,Bride Wars
"Animation, Family",es,2020-11-12,6.7,destroy; friend; endangered,Xico's Journey
"Comedy, Action, Animation, Adventure",ja,2004-08-21,7.3,actress; Land; icy,Naruto: Ninja Clash in the Land of Snow
"Animation, Action, Comedy, Family",en,2004-09-20,6.0,lie; creature; Oscar,Shark Tale
"Fantasy, Drama",en,2013-10-01,7.3,king; God; Taken,The Book of Daniel
"Comedy, Romance",en,2004-04-09,6.7,porn; Danielles; career,The Girl Next Door
"Action, Adventure, Science Fiction",en,2014-03-20,7.7,sent; silence; embroiled,Captain America: The Winter Soldier
"Horror, Mystery",en,2011-08-12,6.0,never; suspension; souls,Final Destination 5
"Action, Science Fiction, Thriller",en,2013-01-04,5.8,wants; Also; compete,Death Race: Inferno
"Animation, Science Fiction",ja,2019-06-29,7.1,mind; around; meets,Cencoroll Connect
Drama,en,2019-08-09,7.3,play; prison; dreams,Brian Banks
"Action, Science Fiction, Drama",ko,2013-08-01,6.9,experiment; perpetualmotion; via,Snowpiercer
"Horror, Thriller",en,1980-05-23,8.2,accepts; madness; Torrance,The Shining
"Animation, Family",en,2021-09-21,5.8,sled; curious; games,Go! Go! Cory Carson: Chrissy Takes the Wheel
"Science Fiction, Thriller",en,2013-06-27,6.2,crew; sent; mission,Europa Report
"Action, Adventure, Science Fiction",en,2016-12-14,7.5,Death; plans; rogue,Rogue One: A Star Wars Story
